airport_identifier
ENAL
ENAN
ENAS
ENAT
ENBJ
ENBL
ENBN
ENBO
ENBR
ENBS
ENBV
ENCN
ENDP
ENDR
ENDU
ENEV
ENFB
ENFL
ENGC
ENGK
ENGM
ENHD
ENHE
ENHF
ENHK
ENHM
ENHO
ENHV
ENJA
ENJS
ENKB
ENKR
ENLA
ENLE
ENLK
ENMH
ENML
ENMS
ENNA
ENNE
ENNM
ENNO
ENOA
ENOL
ENOV
ENQA
ENQC
ENQJ
ENQM
ENQR
ENRA
ENRM
ENRO
ENRS
ENRY
ENSA
ENSB
ENSD
ENSE
ENSF
ENSG
ENSH
ENSK
ENSL
ENSO
ENSR
ENSS
ENST
ENTC
ENTO
ENUB
ENUD
ENUG
ENUN
ENUS
ENVA
ENVD
ENVR
ENWG
ENWV
ENXW
ENZV
