airport_identifier
ENHE
ENVR
ENGC
ENBL
ENWG
ENOA
ENQC
ENLE
ENSO
ENUN
ENBR
ENDP
ENLK
ENKR
ENAS
ENSF
ENRS
ENQR
ENVD
ENVA
ENSG
ENAT
ENFL
ENSB
ENST
ENWV
ENCN
ENSS
ENHM
ENNO
ENOL
ENSL
ENDR
ENSE
ENHF
ENDU
ENHD
ENRA
ENSA
ENTC
ENZV
ENEV
ENBN
ENSR
ENUB
ENHV
ENFB
ENBV
ENTO
ENJA
ENOV
ENKB
ENJS
ENQA
ENNE
ENBS
ENLA
ENGM
ENSH
ENAN
ENXW
ENHK
ENNA
ENQM
ENUS
ENUG
ENRY
ENMS
ENSD
ENSK
ENMH
ENRM
ENBO
ENML
ENBJ
ENQJ
ENRO
ENAL
ENUD
ENHO
ENGK
ENNM
