airport_identifier,name
ENWP,PETROJARL 1
ENWQ,FRIGG OIL RIG
ENWY,YME
ENXA,EKOFISK A
ENXB,ELDFISK B
ENXG,GYDA
ENXH,HOD
ENXI,VALHALL FLANK NORTH
ENXJ,VALHALL FLANK SOUTH
ENXK,EKOFISK K
ENXL,ELDFISK A
ENXM,EMBLA
ENXN,JOTUN A
ENXO,RINGHORNE
ENXP,PETROJARL VARG
ENXQ,FRIGG DP2
ENXR,TAMBAR
ENXS,ALBUSKJELL A
ENXT,TOR
ENXU,JOTUN B
ENXV,VARG
ENXW,GRANE
ENXX,UNKNOWN AD FOR ENOR
ENXY,FROEY
ENXZ,SLEIPNER B
ENZV,STAVANGER/SOLA RWY 18/36 11/29
